fips,unemp
05035,"$42,384 "
28143," $34,485 "
47157," $52,092 "
28137," $55,738 "
47167," $62,474 "
47047," $63,618 "
28093,"$43,411 "
28033,"$69,990 "
01001,40000
01003,40000
01005,40000
01007,40000
01009,40000
01011,40000
01013,40000
01015,40000
01017,40000
01019,40000
01021,40000
01023,40000
01025,40000
01027,40000
01029,40000
01031,40000
01033,40000
01035,40000
01037,40000
01039,40000
01041,40000
01043,40000
01045,40000
01047,40000
01049,40000
01051,40000
01053,40000
01055,40000
01057,40000
01059,40000
01061,40000
01063,40000
01065,40000
01067,40000
01069,40000
01071,40000
01073,40000
01075,40000
01077,40000
01079,40000
01081,40000
01083,40000
01085,40000
01087,40000
01089,40000
01091,40000
01093,40000
01095,40000
01097,40000
01099,40000
01101,40000
01103,40000
01105,40000
01107,40000
01109,40000
01111,40000
01113,40000
01115,40000
01117,40000
01119,40000
01121,40000
01123,40000
01125,40000
01127,40000
01129,40000
01131,40000
01133,40000
02013,40000
02016,40000
02020,40000
02050,40000
02060,40000
02068,40000
02070,40000
02090,40000
02100,40000
02105,40000
02110,40000
02122,40000
02130,40000
02150,40000
02158,40000
02164,40000
02170,40000
02180,40000
02185,40000
02188,40000
02195,40000
02198,40000
02220,40000
02230,40000
02240,40000
02261,40000
02275,40000
02282,40000
02290,40000
04001,40000
04003,40000
04005,40000
04007,40000
04009,40000
04011,40000
04012,40000
04013,40000
04015,40000
04017,40000
04019,40000
04021,40000
04023,40000
04025,40000
04027,40000
05001,40000
05003,40000
05005,40000
05007,40000
05009,40000
05011,40000
05013,40000
05015,40000
05017,40000
05019,40000
05021,40000
05023,40000
05025,40000
05027,40000
05029,40000
05031,40000
05033,40000
05037,40000
05039,40000
05041,40000
05043,40000
05045,40000
05047,40000
05049,40000
05051,40000
05053,40000
05055,40000
05057,40000
05059,40000
05061,40000
05063,40000
05065,40000
05067,40000
05069,40000
05071,40000
05073,40000
05075,40000
05077,40000
05079,40000
05081,40000
05083,40000
05085,40000
05087,40000
05089,40000
05091,40000
05093,40000
05095,40000
05097,40000
05099,40000
05101,40000
05103,40000
05105,40000
05107,40000
05109,40000
05111,40000
05113,40000
05115,40000
05117,40000
05119,40000
05121,40000
05123,40000
05125,40000
05127,40000
05129,40000
05131,40000
05133,40000
05135,40000
05137,40000
05139,40000
05141,40000
05143,40000
05145,40000
05147,40000
05149,40000
06001,40000
06003,40000
06005,40000
06007,40000
06009,40000
06011,40000
06013,40000
06015,40000
06017,40000
06019,40000
06021,40000
06023,40000
06025,40000
06027,40000
06029,40000
06031,40000
06033,40000
06035,40000
06037,40000
06039,40000
06041,40000
06043,40000
06045,40000
06047,40000
06049,40000
06051,40000
06053,40000
06055,40000
06057,40000
06059,40000
06061,40000
06063,40000
06065,40000
06067,40000
06069,40000
06071,40000
06073,40000
06075,40000
06077,40000
06079,40000
06081,40000
06083,40000
06085,40000
06087,40000
06089,40000
06091,40000
06093,40000
06095,40000
06097,40000
06099,40000
06101,40000
06103,40000
06105,40000
06107,40000
06109,40000
06111,40000
06113,40000
06115,40000
08001,40000
08003,40000
08005,40000
08007,40000
08009,40000
08011,40000
08013,40000
08014,40000
08015,40000
08017,40000
08019,40000
08021,40000
08023,40000
08025,40000
08027,40000
08029,40000
08031,40000
08033,40000
08035,40000
08037,40000
08039,40000
08041,40000
08043,40000
08045,40000
08047,40000
08049,40000
08051,40000
08053,40000
08055,40000
08057,40000
08059,40000
08061,40000
08063,40000
08065,40000
08067,40000
08069,40000
08071,40000
08073,40000
08075,40000
08077,40000
08079,40000
08081,40000
08083,40000
08085,40000
08087,40000
08089,40000
08091,40000
08093,40000
08095,40000
08097,40000
08099,40000
08101,40000
08103,40000
08105,40000
08107,40000
08109,40000
08111,40000
08113,40000
08115,40000
08117,40000
08119,40000
08121,40000
08123,40000
08125,40000
09001,40000
09003,40000
09005,40000
09007,40000
09009,40000
09011,40000
09013,40000
09015,40000
10001,40000
10003,40000
10005,40000
11001,40000
12001,40000
12003,40000
12005,40000
12007,40000
12009,40000
12011,40000
12013,40000
12015,40000
12017,40000
12019,40000
12021,40000
12023,40000
12027,40000
12029,40000
12031,40000
12033,40000
12035,40000
12037,40000
12039,40000
12041,40000
12043,40000
12045,40000
12047,40000
12049,40000
12051,40000
12053,40000
12055,40000
12057,40000
12059,40000
12061,40000
12063,40000
12065,40000
12067,40000
12069,40000
12071,40000
12073,40000
12075,40000
12077,40000
12079,40000
12081,40000
12083,40000
12085,40000
12086,40000
12087,40000
12089,40000
12091,40000
12093,40000
12095,40000
12097,40000
12099,40000
12101,40000
12103,40000
12105,40000
12107,40000
12109,40000
12111,40000
12113,40000
12115,40000
12117,40000
12119,40000
12121,40000
12123,40000
12125,40000
12127,40000
12129,40000
12131,40000
12133,40000
13001,40000
13003,40000
13005,40000
13007,40000
13009,40000
13011,40000
13013,40000
13015,40000
13017,40000
13019,40000
13021,40000
13023,40000
13025,40000
13027,40000
13029,40000
13031,40000
13033,40000
13035,40000
13037,40000
13039,40000
13043,40000
13045,40000
13047,40000
13049,40000
13051,40000
13053,40000
13055,40000
13057,40000
13059,40000
13061,40000
13063,40000
13065,40000
13067,40000
13069,40000
13071,40000
13073,40000
13075,40000
13077,40000
13079,40000
13081,40000
13083,40000
13085,40000
13087,40000
13089,40000
13091,40000
13093,40000
13095,40000
13097,40000
13099,40000
13101,40000
13103,40000
13105,40000
13107,40000
13109,40000
13111,40000
13113,40000
13115,40000
13117,40000
13119,40000
13121,40000
13123,40000
13125,40000
13127,40000
13129,40000
13131,40000
13133,40000
13135,40000
13137,40000
13139,40000
13141,40000
13143,40000
13145,40000
13147,40000
13149,40000
13151,40000
13153,40000
13155,40000
13157,40000
13159,40000
13161,40000
13163,40000
13165,40000
13167,40000
13169,40000
13171,40000
13173,40000
13175,40000
13177,40000
13179,40000
13181,40000
13183,40000
13185,40000
13187,40000
13189,40000
13191,40000
13193,40000
13195,40000
13197,40000
13199,40000
13201,40000
13205,40000
13207,40000
13209,40000
13211,40000
13213,40000
13215,40000
13217,40000
13219,40000
13221,40000
13223,40000
13225,40000
13227,40000
13229,40000
13231,40000
13233,40000
13235,40000
13237,40000
13239,40000
13241,40000
13243,40000
13245,40000
13247,40000
13249,40000
13251,40000
13253,40000
13255,40000
13257,40000
13259,40000
13261,40000
13263,40000
13265,40000
13267,40000
13269,40000
13271,40000
13273,40000
13275,40000
13277,40000
13279,40000
13281,40000
13283,40000
13285,40000
13287,40000
13289,40000
13291,40000
13293,40000
13295,40000
13297,40000
13299,40000
13301,40000
13303,40000
13305,40000
13307,40000
13309,40000
13311,40000
13313,40000
13315,40000
13317,40000
13319,40000
13321,40000
15001,40000
15003,40000
15007,40000
15009,40000
16001,40000
16003,40000
16005,40000
16007,40000
16009,40000
16011,40000
16013,40000
16015,40000
16017,40000
16019,40000
16021,40000
16023,40000
16025,40000
16027,40000
16029,40000
16031,40000
16033,40000
16035,40000
16037,40000
16039,40000
16041,40000
16043,40000
16045,40000
16047,40000
16049,40000
16051,40000
16053,40000
16055,40000
16057,40000
16059,40000
16061,40000
16063,40000
16065,40000
16067,40000
16069,40000
16071,40000
16073,40000
16075,40000
16077,40000
16079,40000
16081,40000
16083,40000
16085,40000
16087,40000
17001,40000
17003,40000
17005,40000
17007,40000
17009,40000
17011,40000
17013,40000
17015,40000
17017,40000
17019,40000
17021,40000
17023,40000
17025,40000
17027,40000
17029,40000
17031,40000
17033,40000
17035,40000
17037,40000
17039,40000
17041,40000
17043,40000
17045,40000
17047,40000
17049,40000
17051,40000
17053,40000
17055,40000
17057,40000
17059,40000
17061,40000
17063,40000
17065,40000
17067,40000
17069,40000
17071,40000
17073,40000
17075,40000
17077,40000
17079,40000
17081,40000
17083,40000
17085,40000
17087,40000
17089,40000
17091,40000
17093,40000
17095,40000
17097,40000
17099,40000
17101,40000
17103,40000
17105,40000
17107,40000
17109,40000
17111,40000
17113,40000
17115,40000
17117,40000
17119,40000
17121,40000
17123,40000
17125,40000
17127,40000
17129,40000
17131,40000
17133,40000
17135,40000
17137,40000
17139,40000
17141,40000
17143,40000
17145,40000
17147,40000
17149,40000
17151,40000
17153,40000
17155,40000
17157,40000
17159,40000
17161,40000
17163,40000
17165,40000
17167,40000
17169,40000
17171,40000
17173,40000
17175,40000
17177,40000
17179,40000
17181,40000
17183,40000
17185,40000
17187,40000
17189,40000
17191,40000
17193,40000
17195,40000
17197,40000
17199,40000
17201,40000
17203,40000
18001,40000
18003,40000
18005,40000
18007,40000
18009,40000
18011,40000
18013,40000
18015,40000
18017,40000
18019,40000
18021,40000
18023,40000
18025,40000
18027,40000
18029,40000
18031,40000
18033,40000
18035,40000
18037,40000
18039,40000
18041,40000
18043,40000
18045,40000
18047,40000
18049,40000
18051,40000
18053,40000
18055,40000
18057,40000
18059,40000
18061,40000
18063,40000
18065,40000
18067,40000
18069,40000
18071,40000
18073,40000
18075,40000
18077,40000
18079,40000
18081,40000
18083,40000
18085,40000
18087,40000
18089,40000
18091,40000
18093,40000
18095,40000
18097,40000
18099,40000
18101,40000
18103,40000
18105,40000
18107,40000
18109,40000
18111,40000
18113,40000
18115,40000
18117,40000
18119,40000
18121,40000
18123,40000
18125,40000
18127,40000
18129,40000
18131,40000
18133,40000
18135,40000
18137,40000
18139,40000
18141,40000
18143,40000
18145,40000
18147,40000
18149,40000
18151,40000
18153,40000
18155,40000
18157,40000
18159,40000
18161,40000
18163,40000
18165,40000
18167,40000
18169,40000
18171,40000
18173,40000
18175,40000
18177,40000
18179,40000
18181,40000
18183,40000
19001,40000
19003,40000
19005,40000
19007,40000
19009,40000
19011,40000
19013,40000
19015,40000
19017,40000
19019,40000
19021,40000
19023,40000
19025,40000
19027,40000
19029,40000
19031,40000
19033,40000
19035,40000
19037,40000
19039,40000
19041,40000
19043,40000
19045,40000
19047,40000
19049,40000
19051,40000
19053,40000
19055,40000
19057,40000
19059,40000
19061,40000
19063,40000
19065,40000
19067,40000
19069,40000
19071,40000
19073,40000
19075,40000
19077,40000
19079,40000
19081,40000
19083,40000
19085,40000
19087,40000
19089,40000
19091,40000
19093,40000
19095,40000
19097,40000
19099,40000
19101,40000
19103,40000
19105,40000
19107,40000
19109,40000
19111,40000
19113,40000
19115,40000
19117,40000
19119,40000
19121,40000
19123,40000
19125,40000
19127,40000
19129,40000
19131,40000
19133,40000
19135,40000
19137,40000
19139,40000
19141,40000
19143,40000
19145,40000
19147,40000
19149,40000
19151,40000
19153,40000
19155,40000
19157,40000
19159,40000
19161,40000
19163,40000
19165,40000
19167,40000
19169,40000
19171,40000
19173,40000
19175,40000
19177,40000
19179,40000
19181,40000
19183,40000
19185,40000
19187,40000
19189,40000
19191,40000
19193,40000
19195,40000
19197,40000
20001,40000
20003,40000
20005,40000
20007,40000
20009,40000
20011,40000
20013,40000
20015,40000
20017,40000
20019,40000
20021,40000
20023,40000
20025,40000
20027,40000
20029,40000
20031,40000
20033,40000
20035,40000
20037,40000
20039,40000
20041,40000
20043,40000
20045,40000
20047,40000
20049,40000
20051,40000
20053,40000
20055,40000
20057,40000
20059,40000
20061,40000
20063,40000
20065,40000
20067,40000
20069,40000
20071,40000
20073,40000
20075,40000
20077,40000
20079,40000
20081,40000
20083,40000
20085,40000
20087,40000
20089,40000
20091,40000
20093,40000
20095,40000
20097,40000
20099,40000
20101,40000
20103,40000
20105,40000
20107,40000
20109,40000
20111,40000
20113,40000
20115,40000
20117,40000
20119,40000
20121,40000
20123,40000
20125,40000
20127,40000
20129,40000
20131,40000
20133,40000
20135,40000
20137,40000
20139,40000
20141,40000
20143,40000
20145,40000
20147,40000
20149,40000
20151,40000
20153,40000
20155,40000
20157,40000
20159,40000
20161,40000
20163,40000
20165,40000
20167,40000
20169,40000
20171,40000
20173,40000
20175,40000
20177,40000
20179,40000
20181,40000
20183,40000
20185,40000
20187,40000
20189,40000
20191,40000
20193,40000
20195,40000
20197,40000
20199,40000
20201,40000
20203,40000
20205,40000
20207,40000
20209,40000
21001,40000
21003,40000
21005,40000
21007,40000
21009,40000
21011,40000
21013,40000
21015,40000
21017,40000
21019,40000
21021,40000
21023,40000
21025,40000
21027,40000
21029,40000
21031,40000
21033,40000
21035,40000
21037,40000
21039,40000
21041,40000
21043,40000
21045,40000
21047,40000
21049,40000
21051,40000
21053,40000
21055,40000
21057,40000
21059,40000
21061,40000
21063,40000
21065,40000
21067,40000
21069,40000
21071,40000
21073,40000
21075,40000
21077,40000
21079,40000
21081,40000
21083,40000
21085,40000
21087,40000
21089,40000
21091,40000
21093,40000
21095,40000
21097,40000
21099,40000
21101,40000
21103,40000
21105,40000
21107,40000
21109,40000
21111,40000
21113,40000
21115,40000
21117,40000
21119,40000
21121,40000
21123,40000
21125,40000
21127,40000
21129,40000
21131,40000
21133,40000
21135,40000
21137,40000
21139,40000
21141,40000
21143,40000
21145,40000
21147,40000
21149,40000
21151,40000
21153,40000
21155,40000
21157,40000
21159,40000
21161,40000
21163,40000
21165,40000
21167,40000
21169,40000
21171,40000
21173,40000
21175,40000
21177,40000
21179,40000
21181,40000
21183,40000
21185,40000
21187,40000
21189,40000
21191,40000
21193,40000
21195,40000
21197,40000
21199,40000
21201,40000
21203,40000
21205,40000
21207,40000
21209,40000
21211,40000
21213,40000
21215,40000
21217,40000
21219,40000
21221,40000
21223,40000
21225,40000
21227,40000
21229,40000
21231,40000
21233,40000
21235,40000
21237,40000
21239,40000
22001,40000
22003,40000
22005,40000
22007,40000
22009,40000
22011,40000
22013,40000
22015,40000
22017,40000
22019,40000
22021,40000
22023,40000
22025,40000
22027,40000
22029,40000
22031,40000
22033,40000
22035,40000
22037,40000
22039,40000
22041,40000
22043,40000
22045,40000
22047,40000
22049,40000
22051,40000
22053,40000
22055,40000
22057,40000
22059,40000
22061,40000
22063,40000
22065,40000
22067,40000
22069,40000
22071,40000
22073,40000
22075,40000
22077,40000
22079,40000
22081,40000
22083,40000
22085,40000
22087,40000
22089,40000
22091,40000
22093,40000
22095,40000
22097,40000
22099,40000
22101,40000
22103,40000
22105,40000
22107,40000
22109,40000
22111,40000
22113,40000
22115,40000
22117,40000
22119,40000
22121,40000
22123,40000
22125,40000
22127,40000
23001,40000
23003,40000
23005,40000
23007,40000
23009,40000
23011,40000
23013,40000
23015,40000
23017,40000
23019,40000
23021,40000
23023,40000
23025,40000
23027,40000
23029,40000
23031,40000
24001,40000
24003,40000
24005,40000
24009,40000
24011,40000
24013,40000
24015,40000
24017,40000
24019,40000
24021,40000
24023,40000
24025,40000
24027,40000
24029,40000
24031,40000
24033,40000
24035,40000
24037,40000
24039,40000
24041,40000
24043,40000
24045,40000
24047,40000
24510,40000
25001,40000
25003,40000
25005,40000
25007,40000
25009,40000
25011,40000
25013,40000
25015,40000
25017,40000
25019,40000
25021,40000
25023,40000
25025,40000
